class,norm_before,norm_after,l2_shift
0,16.66638946533203,63.261783599853516,63.39376449584961
4,17.027053833007812,57.34788513183594,58.4815673828125
8,16.695858001708984,53.31138610839844,52.50353240966797
12,18.028797149658203,56.96011734008789,55.70781326293945
16,16.29717254638672,58.44656753540039,59.851322174072266
20,17.139020919799805,52.16691589355469,51.00152587890625
24,16.79275894165039,58.348548889160156,60.64826965332031
29,15.629267692565918,60.002323150634766,61.86190414428711
33,15.537050247192383,56.23955154418945,57.66506576538086
37,16.625089645385742,58.52662658691406,60.9594612121582
41,16.99702262878418,63.89632797241211,65.96041870117188
45,16.029529571533203,62.776885986328125,64.65641784667969
49,16.40007209777832,59.225433349609375,59.26190948486328
54,17.788957595825195,66.03343963623047,67.1820068359375
58,16.33563995361328,56.32210922241211,58.31669235229492
62,16.808727264404297,56.61384201049805,58.282535552978516
66,17.221513748168945,58.95832443237305,59.69741439819336
70,16.889739990234375,64.47977447509766,65.00847625732422
74,16.82958221435547,60.06061553955078,61.545204162597656
79,17.970449447631836,59.246883392333984,60.637184143066406
