class,norm_before,norm_after,l2_shift
0,16.66638946533203,59.18860626220703,61.85402297973633
8,16.695858001708984,51.0654411315918,56.35954284667969
17,17.865663528442383,58.3363037109375,61.77003860473633
26,16.288143157958984,60.17662048339844,64.63907623291016
35,16.912912368774414,57.42533493041992,62.3299560546875
43,16.211360931396484,51.040950775146484,55.642181396484375
52,16.917985916137695,51.137935638427734,53.94945526123047
61,17.041988372802734,56.73345947265625,61.868160247802734
70,16.889739990234375,59.696712493896484,61.4871711730957
79,17.970449447631836,54.80746841430664,56.82639694213867
