dataset,method,repeat,session,candidate_total,novel_coverage,candidate_purity,known_leakage,incremental_acc
LS-100,TEEN,1,1,23,0.92,1.0,0.0,0.956
LS-100,TEEN,1,2,30,1.0,0.8333333333333334,0.16666666666666666,0.817
LS-100,TEEN,1,3,26,0.8,0.7692307692307693,0.23076923076923078,0.6393
LS-100,TEEN,1,4,30,1.0,0.8333333333333334,0.16666666666666666,0.64
LS-100,TEEN,2,1,23,0.92,1.0,0.0,0.903
LS-100,TEEN,2,2,31,1.0,0.8064516129032258,0.1935483870967742,0.749
LS-100,TEEN,2,3,35,0.84,0.6,0.4,0.5923
LS-100,TEEN,2,4,35,1.0,0.7142857142857143,0.2857142857142857,0.5797
LS-100,TEEN,3,1,24,0.96,1.0,0.0,0.876
LS-100,TEEN,3,2,13,0.48,0.9230769230769231,0.07692307692307693,0.7233
LS-100,TEEN,3,3,30,0.68,0.5666666666666667,0.43333333333333335,0.5716
LS-100,TEEN,3,4,34,0.96,0.7058823529411765,0.29411764705882354,0.5537
LS-100,TEEN,4,1,25,1.0,1.0,0.0,0.8755
LS-100,TEEN,4,2,22,0.68,0.7727272727272727,0.22727272727272727,0.7092
LS-100,TEEN,4,3,30,0.8,0.6666666666666666,0.3333333333333333,0.565
LS-100,TEEN,4,4,30,0.84,0.7,0.3,0.5409
LS-100,TEEN,5,1,25,1.0,1.0,0.0,0.8808
LS-100,TEEN,5,2,16,0.6,0.9375,0.0625,0.7032
LS-100,TEEN,5,3,36,0.84,0.5833333333333334,0.4166666666666667,0.5591
LS-100,TEEN,5,4,29,0.84,0.7241379310344828,0.27586206896551724,0.5368
LS-100,TEEN,6,1,25,1.0,1.0,0.0,0.8837
LS-100,TEEN,6,2,29,1.0,0.8620689655172413,0.13793103448275862,0.7043
LS-100,TEEN,6,3,32,0.8,0.625,0.375,0.5621
LS-100,TEEN,6,4,27,0.76,0.7037037037037037,0.2962962962962963,0.5328
LS-100,TEEN,7,1,25,1.0,1.0,0.0,0.8926
LS-100,TEEN,7,2,21,0.84,1.0,0.0,0.716
LS-100,TEEN,7,3,22,0.8,0.9090909090909091,0.09090909090909091,0.5717
LS-100,TEEN,7,4,35,1.0,0.7142857142857143,0.2857142857142857,0.5413
LS-100,TEEN,8,1,25,1.0,1.0,0.0,0.8995
LS-100,TEEN,8,2,25,1.0,1.0,0.0,0.7296
LS-100,TEEN,8,3,28,0.8,0.7142857142857143,0.2857142857142857,0.5813
LS-100,TEEN,8,4,25,0.76,0.76,0.24,0.5507
LS-100,TEEN,9,1,24,0.96,1.0,0.0,0.9033
