method,dataset,repeat,session,auroc,aupr,fpr95,cluster_acc,nmi,ari,source_log
TEEN,LS-100,0,1,1.0,1.0,0.0,1.0,1.0,1.0,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,0,2,0.968,0.9656,0.12,0.6667,0.9311,0.7943,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,0,3,0.8448,0.9031,0.88,0.4231,0.7759,0.5236,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,0,4,0.8848,0.8525,0.2,0.6333,0.8292,0.6565,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,1,1,1.0,1.0,0.0,1.0,1.0,1.0,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,1,2,0.9936,0.9935,0.04,0.4839,0.8222,0.6105,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,1,3,0.84,0.9175,1.0,0.2857,0.8612,0.6343,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,1,4,0.8192,0.7108,0.2,0.4286,0.8867,0.6909,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,2,1,1.0,1.0,0.0,0.9583,0.9351,0.8957,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,2,2,0.9328,0.9307,0.36,0.9231,1.0,1.0,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,2,3,0.6944,0.8114,1.0,0.2667,0.7592,0.5398,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,2,4,0.9408,0.9509,0.36,0.4118,0.8395,0.6205,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,3,1,1.0,1.0,0.0,0.96,0.9352,0.8929,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,3,2,0.8336,0.82,0.4,0.7273,0.9242,0.8678,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,3,3,0.7952,0.8319,0.8,0.4,0.7746,0.599,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,3,4,0.7872,0.8251,0.6,0.5,0.8364,0.6461,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,4,1,1.0,1.0,0.0,1.0,1.0,1.0,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,4,2,0.928,0.9358,0.4,0.8125,0.7909,0.6563,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,4,3,0.7712,0.8209,0.96,0.2778,0.7996,0.5358,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,4,4,0.7968,0.7487,0.32,0.4828,0.8695,0.7028,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,5,1,1.0,1.0,0.0,1.0,1.0,1.0,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,5,2,0.936,0.933,0.16,0.6552,0.8272,0.6555,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,5,3,0.8064,0.877,0.8,0.4375,0.8447,0.6686,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,5,4,0.7328,0.6737,0.52,0.5185,0.8622,0.6303,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,6,1,1.0,1.0,0.0,1.0,1.0,1.0,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,6,2,0.9936,0.994,0.08,0.9048,0.9188,0.8716,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,6,3,0.8432,0.9085,0.8,0.5909,0.7732,0.5182,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,6,4,0.8704,0.8557,0.28,0.4286,0.8123,0.6131,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,7,1,1.0,1.0,0.0,1.0,1.0,1.0,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,7,2,1.0,1.0,0.0,0.96,0.9352,0.8929,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,7,3,0.8064,0.8633,0.88,0.4286,0.7364,0.5026,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,7,4,0.8944,0.8916,0.32,0.52,0.8032,0.5746,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,8,1,1.0,1.0,0.0,0.9583,0.9323,0.8836,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,8,2,0.9104,0.9143,0.24,0.9286,0.9353,0.8722,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,8,3,0.7264,0.8098,0.96,0.5,0.8577,0.683,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,8,4,0.9968,0.9969,0.04,0.7308,0.7985,0.6194,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,9,1,1.0,1.0,0.0,1.0,1.0,1.0,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,9,2,1.0,1.0,0.0,0.7308,0.8517,0.6687,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,9,3,0.824,0.9022,0.92,0.4615,0.6928,0.4569,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,9,4,0.952,0.9508,0.16,0.75,0.8388,0.7238,logs/raw_v2_teen_ls100_10runs.log
TEEN,NS-100,0,1,0.9824,0.9839,0.12,0.8462,0.8062,0.6389,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,0,2,0.816,0.8623,0.68,0.7059,0.8809,0.7422,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,0,3,0.8656,0.9071,0.64,0.8889,0.9366,0.8727,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,0,4,0.5632,0.6376,1.0,0.48,0.782,0.5641,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,1,1,1.0,1.0,0.0,0.8947,0.8634,0.7845,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,1,2,0.6768,0.7672,1.0,0.6316,0.9535,0.9073,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,1,3,0.9024,0.8944,0.4,0.4286,0.8867,0.6909,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,1,4,0.84,0.7966,0.2,0.6429,0.9252,0.7709,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,2,1,0.9376,0.9549,0.44,0.619,0.6379,0.3485,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,2,2,0.8608,0.8683,0.52,0.8182,0.916,0.7885,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,2,3,0.928,0.9418,0.44,0.9474,0.9589,0.9456,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,2,4,0.6016,0.7023,1.0,0.2414,0.8139,0.5641,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,3,1,0.96,0.9644,0.2,0.9412,0.9605,0.955,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,3,2,0.8064,0.7976,0.6,0.6071,0.8911,0.7175,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,3,3,0.8928,0.9016,0.44,0.6429,0.7977,0.5707,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,3,4,0.68,0.628,0.72,0.5789,0.9034,0.825,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,4,1,0.9472,0.959,0.28,0.8462,0.8433,0.7644,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,4,2,0.7888,0.8573,0.8,0.875,0.9417,0.907,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,4,3,0.9968,0.9969,0.04,0.9091,0.8968,0.7884,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,4,4,0.9312,0.9404,0.32,0.4118,0.8575,0.5685,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,5,1,0.96,0.9651,0.24,0.8,0.7846,0.5785,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,5,2,0.9744,0.9752,0.2,0.6207,0.8668,0.6723,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,5,3,1.0,1.0,0.0,0.625,0.9001,0.7376,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,5,4,0.8016,0.8155,0.52,0.4286,0.7732,0.4987,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,6,1,0.992,0.9933,0.0,0.875,0.8915,0.7778,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,6,2,0.9344,0.951,0.44,0.875,0.855,0.7831,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,6,3,0.9968,0.997,0.0,0.9565,0.9354,0.901,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,6,4,0.9024,0.9192,0.4,0.6471,0.7739,0.5679,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,7,1,1.0,1.0,0.0,0.7895,0.8087,0.6552,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,7,2,0.9616,0.9728,0.12,0.8947,0.9398,0.8876,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,7,3,0.9312,0.9427,0.36,0.8889,0.8889,0.8569,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,7,4,0.9984,0.9985,0.0,0.7083,0.8599,0.653,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,8,1,0.9696,0.9736,0.24,0.7619,0.7651,0.5577,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,8,2,0.9984,0.9985,0.0,0.7778,0.8552,0.6912,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,8,3,0.8112,0.8072,0.32,0.5938,0.8299,0.6132,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,8,4,0.9168,0.9384,0.48,0.8182,0.8902,0.6653,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,9,1,0.9648,0.9738,0.32,0.75,0.8055,0.56,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,9,2,0.9376,0.9597,0.24,0.9286,0.9432,0.8984,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,9,3,0.9744,0.9723,0.12,0.7368,0.8603,0.7011,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,9,4,0.7664,0.8223,0.72,0.6471,0.7515,0.6017,logs/raw_v2_teen_ns100_10runs.log
TEEN,FSC-89,0,1,0.9824,0.9854,0.2,0.7273,0.6699,0.4186,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,0,2,0.6256,0.555,0.72,0.2353,0.6693,0.275,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,0,3,0.4064,0.5565,0.92,0.6667,0.9201,0.6341,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,0,4,0.7408,0.6268,0.24,0.0244,0.557,0.1597,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,1,1,1.0,1.0,0.0,0.5833,0.5486,0.3068,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,1,2,0.2608,0.4376,1.0,0.2353,0.9646,0.9494,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,1,3,0.6336,0.5483,0.56,0.3478,0.746,0.4494,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,1,4,0.8656,0.7714,0.12,0.3571,0.4965,0.1302,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,2,1,1.0,1.0,0.0,0.4,0.2942,0.0207,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,2,2,0.5984,0.5814,0.72,0.5,0.9496,0.8772,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,2,3,0.5648,0.4942,0.52,0.0789,0.5159,0.1234,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,2,4,0.6032,0.6094,0.72,0.1795,0.6169,0.2058,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,3,1,1.0,1.0,0.0,0.6364,0.4684,0.1801,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,3,2,0.3424,0.4023,0.92,0.2,0.8741,0.624,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,3,3,0.0656,0.3262,1.0,0.0,0.0,0.0,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,3,4,0.7296,0.6548,0.44,0.1081,0.5184,0.1344,logs/raw_v2_teen_fsc89_10runs.log
