method,dataset,n_seeds,repeat_unit,base_acc_mean,base_acc_std,inc_aa_mean,inc_aa_std,final_inc_mean,final_inc_std,all_aa_mean,all_aa_std,auroc_aa_mean,auroc_aa_std,osr_f1_aa_mean,osr_f1_aa_std
Happy-HAProto-acoustic,LS-100,10,algorithm seed; frozen session features,0.852875,0.0,0.3746,0.020280081680381937,0.2366,0.03546657268157973,0.5806361945304438,0.004997158458819856,0.65424,0.04043857344445058,0.3177538185085355,0.036893239368631085
Happy-HAProto-acoustic,NS-100,10,algorithm seed; frozen session features,0.9985,0.0,0.28336666666666666,0.018420110286395213,0.1757,0.03212320033869602,0.6370549363605091,0.002949944261370881,0.56524,0.01415652185782622,0.23958333333333334,0.0
Happy-HAProto-acoustic,FSC-89,10,algorithm seed; frozen session features,0.5756521739130435,0.0,0.05559583333333334,0.0021208474313727725,0.05145,0.004042826294122026,0.16168178480179796,0.0011394565728084863,0.39136,0.008128304456240163,0.14285714285714285,0.0
OFCL-acoustic-transfer,LS-100,10,algorithm seed; frozen session features,0.852875,0.0,0.5080791666666666,0.029547183507751453,0.40425,0.026737665899958022,0.7973067552459581,0.004665017302817234,0.89332,0.0022787911025122093,0.7924712638884254,0.0036817522221009517
OFCL-acoustic-transfer,NS-100,10,algorithm seed; frozen session features,0.9985,0.0,0.5986,0.012363345615763343,0.5983,0.019944645619536308,0.944980852253182,0.0017841859732120407,0.93776,0.0007589466384403977,0.8989494301994301,0.0
OFCL-acoustic-transfer,FSC-89,10,algorithm seed; frozen session features,0.5756521739130435,0.0,0.007277083333333333,0.004437973262017553,0.010175,0.00409954265741924,0.45949552541790933,0.0009191483648093242,0.33340000000000003,0.0006324555320336764,0.0,0.0
OPCR-acoustic,LS-100,10,algorithm seed; frozen session features,0.857125,0.0,0.43269583333333334,0.013711703824078866,0.31995,0.015734692737881965,0.7960524965600275,0.0020938231047107317,0.85612,0.0001686548085423886,0.8041092938633922,0.0
OPCR-acoustic,NS-100,10,algorithm seed; frozen session features,0.9985,0.0,0.4312583333333333,0.009020184841116118,0.49570000000000003,0.037217976540615115,0.9274684881320949,0.0018152517637604765,0.95536,0.0003373096170846368,0.9170718255064759,0.0
OPCR-acoustic,FSC-89,10,algorithm seed; frozen session features,0.5592753623188406,0.0,0.010170833333333332,0.0031425863178967894,0.0075,0.0013385315336840843,0.4658347502348489,0.0003632466745602248,0.6682,0.0,0.6689189189189189,0.0
YLOC-PAL-acoustic,LS-100,10,algorithm seed; frozen session features,0.852875,0.0,0.5217208333333333,0.02148906061418802,0.38915,0.018225516301176335,0.8001039860681115,0.003090270572491062,0.79972,0.0007554248252914716,0.7925487305806482,0.0
YLOC-PAL-acoustic,NS-100,10,algorithm seed; frozen session features,0.9985,0.0,0.6016583333333333,0.022968105569610875,0.6229,0.008292566952799743,0.9471468507051943,0.0022367992621506604,0.9526,0.008128413812738081,0.8937418414019941,0.008414827393668745
YLOC-PAL-acoustic,FSC-89,10,algorithm seed; frozen session features,0.5756521739130435,0.0,2.9166666666666663e-05,9.223309842157771e-05,5e-05,0.00015811388300841897,0.48555133341963985,1.8294343071486873e-05,0.3024,0.0,0.5157545605306799,0.0
