method,baseline,dataset,metric,n_pairs,mean_gain,gain_ci95_low,gain_ci95_high,paired_t_p,wilcoxon_p
FOWAC,TEEN,LS-100,known,10,0.08544907500000001,0.05347815812500004,0.11662336562499995,0.0008141271405511178,0.001953125
FOWAC,TEEN,LS-100,unknown,10,0.1088549,0.038471793125000014,0.18204756499999994,0.019005492828467103,0.01953125
FOWAC,TEEN,LS-100,auroc,10,0.03487999999999998,0.01307999999999998,0.055079999999999976,0.01254060954509907,0.01953125
FOWAC,TEEN,LS-100,f1,10,0.06815792500000001,0.04006147875000001,0.09607466249999994,0.0014337119784603447,0.00390625
FOWAC,TEEN,LS-100,inc,10,0.0416917,0.00047014687500000497,0.08284597937499996,0.0932364098829541,0.130859375
FOWAC,TEEN,LS-100,all,10,0.0054606249999999855,-0.0001545487500000574,0.011049811250000003,0.10237858897550066,0.10546875
FOWAC,TEEN,NS-100,known,10,0.027891799999999987,-0.012142418749999988,0.06651574312499997,0.2227966772764564,0.232421875
FOWAC,TEEN,NS-100,unknown,10,0.15199647500000002,0.09172634500000003,0.214523325,0.0012422282569920372,0.00390625
FOWAC,TEEN,NS-100,auroc,10,0.05087999999999998,0.024999999999999977,0.07803999999999997,0.006043588136642938,0.005859375
FOWAC,TEEN,NS-100,f1,10,0.029347725000000012,-0.006973605624999998,0.06852709687499997,0.18206472138917987,0.083984375
FOWAC,TEEN,NS-100,inc,10,0.175587525,0.139370561875,0.20655025687499998,4.967300415689498e-06,0.001953125
FOWAC,TEEN,NS-100,all,10,0.023453875000000013,0.01775047500000001,0.027978830624999996,1.3543354925736603e-05,0.001953125
