method,dataset,metric,n_pairs,baseline_mean,proposed_mean,mean_gain,gain_ci95_low,gain_ci95_high,paired_t_p,wilcoxon_p,complete_10_pairs
FOWAC-UMR,LS-100,known,10,0.823444475,0.8623138750000001,0.03886940000000001,0.009587199999999985,0.06929100000000002,0.040542108758746816,0.048828125,True
FOWAC-UMR,LS-100,unknown,10,0.6786342249999999,0.688045175,0.009410950000000019,-0.05302705749999999,0.06787509999999998,0.781038613085117,0.6953125,True
FOWAC-UMR,LS-100,auroc,10,0.9030799999999999,0.90868,0.005599999999999994,-0.007639999999999948,0.017759999999999988,0.43484161524489306,0.4921875,True
FOWAC-UMR,LS-100,f1,10,0.846946,0.8755850250000001,0.02863902500000003,0.010338619375000024,0.052119036874999955,0.034372515926349156,0.009765625,True
FOWAC-UMR,LS-100,inc,10,0.696679125,0.7040208,0.007341675000000003,-0.015920928750000007,0.02781291562499996,0.5554987415564081,0.431640625,True
FOWAC-UMR,LS-100,final_inc,10,0.5613500000000001,0.55715,-0.004199999999999976,-0.042649999999999993,0.022800000000000053,0.8258292546387012,0.625,True
FOWAC-UMR,LS-100,all,10,0.8940776749999999,0.89548275,0.001405074999999989,-0.0022920250000000087,0.004498448749999991,0.46991091377386374,0.322265625,True
FOWAC-DS,LS-100,known,10,0.823444475,0.893620325,0.07017585000000003,0.044390169375000024,0.09551043312500003,0.0007058636191631548,0.00390625,True
FOWAC-DS,LS-100,unknown,10,0.6786342249999999,0.7295813250000001,0.0509471,-0.009693020000000002,0.11713641749999988,0.17114067300165484,0.275390625,True
FOWAC-DS,LS-100,auroc,10,0.9030799999999999,0.9446399999999999,0.04155999999999997,0.02415999999999995,0.05736099999999995,0.0013341604693526943,0.005859375,True
FOWAC-DS,LS-100,f1,10,0.846946,0.9045492749999999,0.05760327500000003,0.033054233750000106,0.082590016875,0.0019657158572593705,0.00390625,True
FOWAC-DS,LS-100,inc,10,0.696679125,0.7138916999999999,0.017212574999999952,-0.0029165500000000733,0.03804174999999993,0.16131432713240493,0.275390625,True
FOWAC-DS,LS-100,final_inc,10,0.5613500000000001,0.6003000000000001,0.038950000000000005,0.014048749999999987,0.062350000000000017,0.015753007958856008,0.037109375,True
FOWAC-DS,LS-100,all,10,0.8940776749999999,0.8970956250000001,0.00301794999999998,0.0004074418749999909,0.005694924999999973,0.06745438491149001,0.083984375,True
FOWAC-BCD,FSC-89,known,10,0.6991426749999999,0.6912704749999999,-0.007872200000000006,-0.04401440937500003,0.033218055624999916,0.7167714015870599,0.4921875,True
FOWAC-BCD,FSC-89,unknown,10,0.32428077499999997,0.341684075,0.01740329999999999,-0.024894744999999996,0.05682284749999993,0.4574528987630059,0.625,True
FOWAC-BCD,FSC-89,auroc,10,0.67096,0.72144,0.050479999999999955,0.011719999999999963,0.08519999999999994,0.033442468441333924,0.064453125,True
FOWAC-BCD,FSC-89,f1,10,0.630080925,0.669436975,0.03935605000000002,-0.007369080624999965,0.08326096374999993,0.14469449994796213,0.16015625,True
FOWAC-BCD,FSC-89,inc,10,0.2305333,0.2591833,0.02865000000000001,0.003999975000000017,0.053983401874999996,0.061637651889986066,0.048828125,True
FOWAC-BCD,FSC-89,final_inc,10,0.15760000000000002,0.17360000000000003,0.016,-0.0004506249999999997,0.03672562499999994,0.1541452153413285,0.193359375,True
FOWAC-BCD,FSC-89,all,10,0.374373075,0.37746994999999994,0.0030968749999999933,5.4538750000010154e-05,0.006178700000000003,0.09656172259791299,0.130859375,True
