method,dataset,variant,main_table_eligible,base_acc,known_aa,novel_aa,auroc_aa,f1_aa,inc_aa,all_aa,inc_pd,all_pd,final_inc,final_inc_std,source_log
FOWAC-UMR,LS-100,auto-variance-rng-shift-audit,False,0.9367,0.8171,0.7369,0.9332,0.8943,0.6878,0.8955,0.233,0.0639,0.591,0.0,logs/proposed_statmem_auto_ls_screen.log
FOWAC-UMR,LS-100,checkpoint-or-state-drift-audit,False,0.856,0.7325,0.7019,0.9096,0.846,0.5366,0.8063,0.0995,0.0634,0.5045,0.0,logs/proposed_statmem_auto_rngsafe_modelstate_audit_ls_screen.log
FOWAC-UMR,LS-100,checkpoint-or-state-drift-audit,False,0.856,0.753,0.7019,0.9084,0.846,0.5366,0.8063,0.0995,0.0634,0.5045,0.0,logs/proposed_statmem_cachedvar_checkpoint_drift_audit_ls_screen.log
FOWAC-UMR,FSC-89,cached-variance-main,True,0.5356,0.7009,0.3447,0.6725,0.6418,0.2423,0.3752,0.2036,0.0653,0.1633,0.0064,logs/proposed_statmem_cachedvar_fsc89_10runs.log
FOWAC-UMR,FSC-89,cached-variance-screen,False,0.5356,0.6414,0.3137,0.6292,0.6101,0.2779,0.3838,0.2848,0.0626,0.1612,0.0,logs/proposed_statmem_cachedvar_fsc_screen.log
FOWAC-UMR,NS-100,cached-variance-main,True,0.9985,0.7301,0.7041,0.8564,0.7543,0.5145,0.9344,0.0066,0.0715,0.496,0.0112,logs/proposed_statmem_cachedvar_gated_ns100_10runs.log
FOWAC-UMR,LS-100,cached-variance-main,True,0.9367,0.8414,0.6941,0.8985,0.8656,0.7062,0.8964,0.3285,0.0722,0.5669,0.0255,logs/proposed_statmem_cachedvar_ls100_10runs.log
FOWAC-UMR,LS-100,cached-variance-screen,False,0.9367,0.7814,0.7798,0.9104,0.8855,0.7637,0.9041,0.3155,0.0628,0.6365,0.0,logs/proposed_statmem_cachedvar_ls_screen.log
FOWAC-UMR,NS-100,cached-variance-ungated-ablation,False,0.9985,0.7501,0.7177,0.8874,0.7468,0.502,0.9325,0.0308,0.0748,0.4819,0.0305,logs/proposed_statmem_cachedvar_ns100_10runs.log
FOWAC-UMR,NS-100,cached-variance-screen,False,0.9985,0.6971,0.7914,0.8792,0.7139,0.5365,0.9389,-0.05,0.0589,0.562,0.0,logs/proposed_statmem_cachedvar_ns_screen.log
FOWAC-UMR,FSC-89,fixed-variance-ablation,False,0.5356,0.7363,0.2883,0.7057,0.6936,0.2279,0.3784,0.2035,0.0631,0.1469,0.0071,logs/proposed_statmem_fsc89_10runs.log
FOWAC-UMR,LS-100,fixed-variance-ablation,False,0.9367,0.8382,0.6887,0.8934,0.8665,0.7089,0.8967,0.3231,0.0717,0.5706,0.0299,logs/proposed_statmem_ls100_10runs.log
FOWAC-UMR,LS-100,full-writeback-negative-ablation,False,0.9367,0.7928,0.7429,0.88,0.905,0.0276,0.8156,0.0465,0.1345,0.0035,0.0,logs/proposed_statmem_ls_screen.log
FOWAC-UMR,NS-100,fixed-variance-ablation,False,0.9985,0.7651,0.6696,0.869,0.7305,0.5103,0.9335,0.0279,0.0758,0.4745,0.0133,logs/proposed_statmem_ns100_10runs.log
FOWAC-UMR,FSC-89,residual-screen,False,0.5356,0.6414,0.3137,0.6288,0.6101,0.2776,0.3839,0.2853,0.0624,0.1607,0.0,logs/proposed_statmem_oldfreeze_fsc_screen.log
FOWAC-UMR,LS-100,residual-screen,False,0.9367,0.7722,0.7798,0.9108,0.8855,0.7673,0.9048,0.3005,0.0603,0.6495,0.0,logs/proposed_statmem_residual_ls_screen.log
FOWAC-DS,LS-100,dfsb-dual-space-weight-0.5,True,0.9367,0.8984,0.7346,0.9432,0.9055,0.7178,0.8976,0.2818,0.0655,0.6082,0.0161,logs/mixed_openworld_dual05_10runs.log
FOWAC-DS,LS-100,dfsb-dual-space-weight-1.5,False,0.9367,0.911,0.7408,0.9565,0.9148,0.711,0.8969,0.2906,0.0663,0.6036,0.0071,logs/mixed_openworld_dual15_10runs.log
FOWAC-BCD,FSC-89,balanced-capacity-discovery,True,0.5356,0.7004,0.3296,0.7315,0.6966,0.2638,0.3781,0.2272,0.0652,0.1709,0.0048,logs/proposed_balanced_kmeans_fsc89_10runs.log
