method,dataset,metric,session,n,mean,sample_std,complete_10,source
TEEN,LS-100,known,1,10,0.9736466,0.03067187341378271,True,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,known,2,10,0.862533,0.1545614160304354,True,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,known,3,10,0.6642281000000001,0.1430860643765376,True,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,known,4,10,0.7933702,0.14436083796499505,True,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,unknown,1,10,0.9876666000000001,0.019863842703095835,True,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,unknown,2,10,0.7792662,0.15379763146333994,True,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,unknown,3,10,0.4071754,0.10448317462230727,True,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,unknown,4,10,0.5404287,0.12302531228351163,True,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,auroc,1,10,1.0,0.0,True,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,auroc,2,10,0.9495999999999999,0.05293316540695446,True,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,auroc,3,10,0.7952,0.05090470399569068,True,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,auroc,4,10,0.8675200000000001,0.08312406791457373,True,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,f1,1,10,0.9855442,0.017101122879312147,True,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,f1,2,10,0.8425948,0.1287488212483689,True,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,f1,3,10,0.7337416,0.06408639827469025,True,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,f1,4,10,0.8259034000000002,0.07572809142539731,True,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,inc,1,10,0.9073999999999998,0.04639013305051457,True,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,inc,2,10,0.7333,0.06058611868883642,True,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,inc,3,10,0.5846665,0.04516751263475899,True,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,inc,4,10,0.5613500000000001,0.05525901133148634,True,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,all,1,10,0.9318470999999999,0.0027356428637118767,True,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,all,2,10,0.9105221,0.006521289757402278,True,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,all,3,10,0.8768315000000001,0.007014800040707591,True,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,all,4,10,0.8571100000000001,0.010755923432643458,True,logs/raw_v2_teen_ls100_10runs.log
TEEN,NS-100,known,1,10,0.7484479,0.06622297204721836,True,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,known,2,10,0.7237324999999999,0.1062609553999022,True,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,known,3,10,0.8305363,0.15769387997499035,True,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,known,4,10,0.6980796,0.19084809338563832,True,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,unknown,1,10,0.8123648000000001,0.09071807047208277,True,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,unknown,2,10,0.7734561999999999,0.12342519108422632,True,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,unknown,3,10,0.7617779,0.1823052841011777,True,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,unknown,4,10,0.5604152000000001,0.16938065258451318,True,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,auroc,1,10,0.97136,0.021643741718001434,True,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,auroc,2,10,0.8755200000000001,0.10282356841805397,True,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,auroc,3,10,0.9299199999999999,0.06342766308515901,True,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,auroc,4,10,0.80016,0.1465423958374428,True,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,f1,1,10,0.7823485,0.08650924156316094,True,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,f1,2,10,0.7397609999999999,0.10879946459018587,True,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,f1,3,10,0.8633559,0.04758046635484403,True,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,f1,4,10,0.7093819000000001,0.13955656323707763,True,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,inc,1,10,0.5094000000000001,0.05040326268099009,True,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,inc,2,10,0.5195,0.059050355159342136,True,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,inc,3,10,0.5637332,0.057019964622148894,True,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,inc,4,10,0.5052,0.054701310161031184,True,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,all,1,10,0.9694470000000001,0.0029121210673856,True,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,all,2,10,0.9449999,0.0065716824067780216,True,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,all,3,10,0.9294632000000002,0.008981397339934232,True,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,all,4,10,0.8993800000000001,0.010895646429244628,True,logs/raw_v2_teen_ns100_10runs.log
