method,dataset,metric,n_complete_repeats,complete_10,aa_mean,aa_sample_std,final_mean,final_sample_std,source
TEEN,LS-100,known,10,True,0.823444475,0.057906538854823095,0.7933702,0.14436083796499505,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,unknown,10,True,0.6786342249999999,0.0663311751520197,0.5404287,0.12302531228351163,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,auroc,10,True,0.9030799999999999,0.029559762440783538,0.8675200000000001,0.08312406791457373,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,f1,10,True,0.846946,0.04727867062472954,0.8259034000000002,0.07572809142539731,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,inc,10,True,0.696679125,0.049924111456407586,0.5613500000000001,0.05525901133148634,logs/raw_v2_teen_ls100_10runs.log
TEEN,LS-100,all,10,True,0.8940776749999999,0.006508311372188715,0.8571100000000001,0.010755923432643458,logs/raw_v2_teen_ls100_10runs.log
TEEN,NS-100,known,10,True,0.7501990749999999,0.06993228246450374,0.6980796,0.19084809338563832,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,unknown,10,True,0.727003525,0.0728783031989565,0.5604152000000001,0.16938065258451318,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,auroc,10,True,0.8942400000000001,0.05759820984872514,0.80016,0.1465423958374428,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,f1,10,True,0.773711825,0.0547762559952924,0.7093819000000001,0.13955656323707763,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,inc,10,True,0.5244583,0.05026095416048348,0.5052,0.054701310161031184,logs/raw_v2_teen_ns100_10runs.log
TEEN,NS-100,all,10,True,0.9358225250000001,0.00678965273458445,0.8993800000000001,0.010895646429244628,logs/raw_v2_teen_ns100_10runs.log
TEEN,FSC-89,known,10,True,0.6991426749999999,0.07196108995366964,0.6628018999999999,0.2799497529948504,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,unknown,10,True,0.32428077499999997,0.05647387550998567,0.159771,0.09434425818246704,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,auroc,10,True,0.67096,0.07603068386440366,0.58944,0.19222830870261193,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,f1,10,True,0.630080925,0.08994718939953429,0.5449048999999999,0.2972038804301967,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,inc,10,True,0.2305333,0.0397105707387844,0.15760000000000002,0.023502127563265418,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,all,10,True,0.374373075,0.0045198541044700075,0.34275289999999997,0.003182969104817414,logs/raw_v2_teen_fsc89_10runs.log
FOWAC-UMR,LS-100,known,10,True,0.8623138750000001,0.05424220054626006,0.8488581,0.16357971376430244,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,unknown,10,True,0.688045175,0.09274821114118366,0.48085459999999997,0.12883108868092016,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,auroc,10,True,0.90868,0.03677006028460293,0.86144,0.10492498060783978,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,f1,10,True,0.8755850250000001,0.042709459442787846,0.8275979999999998,0.07309774208399175,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,inc,10,True,0.7040208,0.046104796756471604,0.55715,0.05546122268957132,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,all,10,True,0.89548275,0.006014460806395405,0.8571300000000001,0.010193249400134052,logs/raw_v2_umr_ls100_10runs.log
FOWAC-DS,LS-100,known,10,True,0.893620325,0.03720767266043726,0.9252381,0.11124255393053904,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,unknown,10,True,0.7295813250000001,0.08867518527719656,0.6488645,0.23253591035997956,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,auroc,10,True,0.9446399999999999,0.018441691896352697,0.9569599999999999,0.04369071093747756,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,f1,10,True,0.9045492749999999,0.034023535267976635,0.9042258000000001,0.073928749384195,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,inc,10,True,0.7138916999999999,0.02986626286831756,0.6003000000000001,0.034076873878531366,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,all,10,True,0.8970956250000001,0.0043814323273997004,0.8639800000000001,0.007237065089600278,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-BCD,FSC-89,known,10,True,0.6912704749999999,0.07460180858280646,0.5464705999999999,0.25061478660073777,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,unknown,10,True,0.341684075,0.06830713367821863,0.1914178,0.12391476306522606,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,auroc,10,True,0.72144,0.06806642507302862,0.56416,0.2021118018435451,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,f1,10,True,0.669436975,0.10006523938358985,0.5276799,0.27994187092420536,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,inc,10,True,0.2591833,0.03967898174460741,0.17360000000000003,0.03037661746950916,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,all,10,True,0.37746994999999994,0.005375139942364295,0.34619110000000003,0.005748688013606037,logs/raw_v2_bcd_fsc89_10runs.log
